x,y,z
-0.2566,-0.8108,0.0137
-0.3318,-0.8491,0.0759
-0.3992,-0.9517,0.1379
-0.3984,-1.0872,0.1348
-0.4319,-1.2112,0.1228
-0.5198,-0.9683,0.3025
-0.5591,-0.7979,0.4468
-0.5522,-0.9478,0.4128
-0.3718,-1.0352,0.3823
-0.2727,-0.9451,0.3333
-0.3909,-0.8892,0.259
-0.4026,-0.9241,0.2729
-0.3464,-0.8936,0.2693
-0.3044,-0.8787,0.2505
-0.3162,-0.8569,0.2253
-0.3369,-0.8542,0.2266
-0.3359,-0.875,0.261
-0.3577,-0.8718,0.2556
-0.3662,-0.873,0.2717
-0.3689,-0.8872,0.3027
-0.3809,-0.9187,0.3076
-0.3682,-0.9314,0.3342
-0.3647,-0.9497,0.3345
-0.3599,-0.9392,0.3464
-0.3462,-0.9236,0.322
-0.3552,-0.9304,0.2993
-0.3323,-0.918,0.272
-0.3284,-0.9375,0.2681
-0.3354,-0.9214,0.2622
-0.3237,-0.8904,0.2527
-0.3313,-0.8992,0.2837
-0.3135,-0.8918,0.2771
-0.323,-0.8962,0.2925
-0.3489,-0.885,0.3083
-0.3401,-0.8777,0.3218
-0.3408,-0.8879,0.3179
-0.3701,-0.9021,0.321
-0.3696,-0.9019,0.3142
-0.3647,-0.9172,0.312
-0.363,-0.9143,0.3066
-0.3591,-0.9258,0.3062
-0.3447,-0.9033,0.2986
-0.3298,-0.9209,0.3
-0.3271,-0.9014,0.3083
-0.3328,-0.9041,0.3149
-0.324,-0.8999,0.3123
-0.3286,-0.9087,0.3083
-0.3193,-0.9111,0.2996
-0.3252,-0.9006,0.3125
-0.3386,-0.8975,0.2998
-0.3298,-0.9067,0.2937
-0.3496,-0.9067,0.2888
-0.3464,-0.9055,0.2981
-0.3552,-0.9043,0.2969
-0.3428,-0.8984,0.2998
-0.3538,-0.8997,0.2905
-0.3416,-0.8958,0.2798
-0.3562,-0.9131,0.3052
-0.3474,-0.9019,0.322
-0.3359,-0.9045,0.3093
-0.3311,-0.9065,0.2947
-0.3354,-0.9146,0.2983
-0.3494,-0.9089,0.2905
-0.3381,-0.8992,0.2891
-0.3467,-0.9082,0.29
-0.3423,-0.9104,0.304
-0.366,-0.9077,0.3064
-0.356,-0.9026,0.304
-0.3611,-0.9114,0.3042
-0.3528,-0.9045,0.301
-0.3484,-0.9087,0.2917
-0.3394,-0.9119,0.2998
-0.323,-0.9062,0.2905
-0.322,-0.9058,0.2964
-0.3391,-0.8982,0.3008
-0.3528,-0.9128,0.2954
-0.3271,-0.9116,0.3066
-0.3418,-0.8958,0.3125
-0.3386,-0.9031,0.3157
-0.3501,-0.8945,0.3145
-0.3562,-0.9114,0.3005
-0.3408,-0.8987,0.2996
-0.3499,-0.9167,0.2927
-0.3381,-0.9055,0.2957
-0.3423,-0.8984,0.2966
-0.3284,-0.894,0.2937
-0.3269,-0.9119,0.293
-0.3376,-0.9194,0.3013
-0.3467,-0.8926,0.3088
-0.3315,-0.9102,0.303
-0.3411,-0.8936,0.2971
-0.3499,-0.9045,0.2964
-0.353,-0.8889,0.2986
-0.3459,-0.9053,0.2961
-0.3513,-0.9021,0.2983
-0.3503,-0.9006,0.3069
-0.3318,-0.907,0.2993
-0.3518,-0.9014,0.3083
-0.335,-0.9116,0.2974
-0.3491,-0.908,0.2979
-0.3347,-0.9026,0.2891
-0.3447,-0.8965,0.3086
-0.365,-0.906,0.3096
-0.3457,-0.9067,0.2944
-0.3445,-0.9158,0.3
-0.333,-0.8972,0.2798
-0.3301,-0.9167,0.3052
-0.3391,-0.9065,0.2998
-0.3367,-0.9028,0.3167
-0.3279,-0.8948,0.2966
-0.3376,-0.8977,0.2908
-0.3264,-0.8853,0.2986
-0.3391,-0.9072,0.3101
-0.3276,-0.9026,0.3098
-0.335,-0.9053,0.3142
-0.3508,-0.9043,0.2937
-0.3293,-0.895,0.3066
-0.3369,-0.8953,0.2881
-0.3396,-0.9026,0.3066
-0.3306,-0.8921,0.303
-0.3376,-0.9114,0.3013
-0.3328,-0.9011,0.2983
-0.3279,-0.9175,0.2927
-0.3467,-0.917,0.3115
-0.3333,-0.9114,0.3101
-0.343,-0.907,0.3125
-0.3552,-0.897,0.3027
-0.3315,-0.895,0.3052
-0.3508,-0.9026,0.2734
-0.3564,-0.9072,0.2996
-0.3303,-0.9077,0.303
-0.3274,-0.908,0.2937
-0.3362,-0.9099,0.2864
-0.335,-0.9099,0.2983
-0.344,-0.9048,0.3074
-0.3298,-0.9104,0.3044
-0.3369,-0.9038,0.291
-0.3384,-0.8992,0.303
-0.3379,-0.9199,0.2942
-0.3586,-0.9033,0.2888
-0.3496,-0.9058,0.3088
-0.3296,-0.9136,0.2922
-0.3494,-0.9045,0.2854
-0.3477,-0.9053,0.2896
-0.3315,-0.9102,0.2908
-0.3596,-0.895,0.2976
-0.3364,-0.915,0.3015
-0.3337,-0.9153,0.2861
-0.3369,-0.9072,0.283
-0.3269,-0.908,0.2832
-0.3418,-0.9138,0.2959
-0.3416,-0.9011,0.2939
-0.3396,-0.9119,0.2876
-0.3384,-0.9243,0.303
-0.3389,-0.9111,0.2878
-0.3403,-0.9067,0.2908
-0.3435,-0.9089,0.3018
-0.3384,-0.908,0.2898
-0.3293,-0.9192,0.2837
-0.3472,-0.908,0.2925
-0.3315,-0.9065,0.2844
-0.3438,-0.9036,0.2888
-0.3545,-0.9104,0.3
-0.3462,-0.9248,0.2856
-0.3484,-0.8931,0.2908
-0.3347,-0.897,0.2864
-0.3391,-0.905,0.3118
-0.3345,-0.906,0.2859
-0.3398,-0.9172,0.2998
-0.3306,-0.9058,0.2905
-0.3511,-0.9026,0.291
-0.3342,-0.9026,0.2891
-0.3484,-0.9294,0.2917
-0.3516,-0.9038,0.2964
-0.3542,-0.9165,0.3115
-0.334,-0.9116,0.3022
-0.3403,-0.9104,0.3022
-0.3374,-0.9092,0.2976
-0.343,-0.9006,0.2983
-0.3513,-0.9038,0.293
-0.3384,-0.9104,0.2964
-0.3342,-0.9197,0.3025
-0.353,-0.9038,0.2944
-0.3496,-0.9131,0.3
